gateid,treatment,date_random_assignment,site,w1_completed,w2_completed,w3_completed,age,gender,race_white_hispanic,race_white_not_hispanic,race_black_hispanic,race_black_not_hispanic,race_american_indian_alaskan,race_hawaiian_pacific_islander,race_asian,race_other,language,grade,household_size,has_children_in_hh,number_of_children_in_hh,marital_status,household_income,born_us,citizen,disability,ever_self_employed,years_self_employed,cb_industry,cb_start_mth,cb_start_year,cb_end_mth,cb_end_year,self_employed_at_application,weeks_self_employed,cb_weekly_hours_worked,cb_was_financial_success,cb_maximum_employees,relatives_friends_ever_se,worked_for_relatives_friends_se,working_in_wage_and_salary_job,now_self_employed,now_looking_for_work,now_in_school_or_training,now_caring_for_family_member,now_retired,now_doing_other,now_disabled,ever_worked,month_last_job_ended,year_last_job_ended,reason_last_job_ended,hourly_pay_rate,hours_worked_per_week,weeks_worked_someone_else,managerial_experience,years_managerial_experience,now_tanf,now_ssi,now_ssdi,now_ga,now_food_stamps,now_social_security,now_health,now_veteran,now_other,currently_receiving_ui_benefits,weeks_received_ui_benefits,family_support,sa_enjoys_working_independently,sa_always_finishes_projects,sa_works_long_hours,sa_has_innovative_ideas,sa_often_takes_initiative,sa_finds_a_way,sa_is_risk_averse,sa_handles_challenges,sa_communicates_well,sa_takes_advice,sa_good_motivator,sa_has_clear_goals,sa_often_misses_deadlines,sa_is_organized,sa_is_indecisive,sa_works_well_under_pressure,sa_has_sense_of_humor,sa_will_not_risk_savings,sa_will_lower_standard_of_living,sa_gets_sick_often,sa_finds_many_solutions,is_responsible_for_child_care,has_child_care_plans,has_car,has_telephone,has_computer,has_bank_account,has_credit_history,has_credit_history_problem,has_salaried_family_support,amount_salaried_family_support,has_health_insurance,health_insurance_source,is_operating_business,months_in_business,ever_operated_similar_business,builds_on_work_skills,builds_on_hobby_skills,is_home_based_business,has_location_in_mind,has_formal_business_plan,why_to_obtain_more_income,why_to_be_own_boss,why_to_pursue_interests,why_to_use_specific_talent,why_for_schedule_flexibility,why_to_work_at_home,why_to_realize_dream,why_to_avoid_unemployment,why_other,why_to_help_others,why_to_create_jobs,why_to_save_for_retirement,why_because_of_disability,why_for_fun_or_job_satisfaction,why_for_personal_fulfillment,why_for_security,why_to_meet_market_needs
ME1014,0,2003-09-24,5,1,1,1,73,1,0,1,0,0,0,0,0,0,1,18,2,0,-1,1,7,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,1,1,0,1,10,1996,3,5.77,40,-4,1,20,0,0,0,0,0,1,0,0,0,0,-4,2,3,1,2,2,2,1,5,1,1,2,2,2,5,2,4,1,1,2,5,5,2,0,1,1,1,1,1,1,0,0,-1,1,5,0,-1,0,1,0,1,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME1034,1,2003-10-13,5,1,1,1,39,1,0,1,0,0,0,0,0,0,1,14,2,0,-1,5,4,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.5,40,-4,1,1,0,0,0,0,0,0,0,0,0,0,-4,2,1,2,2,2,2,1,3,2,1,2,3,4,4,2,4,2,1,4,1,5,2,0,0,1,1,1,1,1,1,1,300,0,-1,0,-1,0,1,1,1,-1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ME1085,1,2003-10-28,5,1,1,1,35,1,0,1,0,0,0,0,0,0,1,9,6,0,-1,2,3,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,0,0,0,0,0,1,3,2003,7,11,40,26,1,3,0,0,0,0,1,0,0,0,0,0,-4,3,1,1,1,1,1,1,5,1,1,1,1,1,4,1,5,1,1,5,1,3,1,0,1,1,1,1,0,1,1,1,250,1,3,0,-1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ME1109,1,2003-10-29,5,1,1,1,28,1,0,1,0,0,0,0,0,1,1,17,2,0,-1,-4,4,1,1,0,1,1,61,5,2002,-4,-4,1,52,80,1,13,0,-1,0,1,0,0,0,0,0,0,1,9,2001,7,4.81,80,-4,1,4,0,0,0,0,0,0,0,0,0,0,-4,2,1,1,1,1,1,1,5,1,1,1,1,2,5,1,5,1,1,5,1,5,1,0,0,1,1,1,1,1,0,0,-1,1,5,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ME1111,1,2003-10-30,5,1,1,1,33,1,0,0,0,1,0,0,0,0,1,13,1,0,-1,3,3,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,20,50,0,-1,0,0,0,0,1,0,0,0,0,0,-4,1,1,1,1,1,2,2,4,1,1,2,2,-4,5,1,5,1,2,5,1,5,1,0,0,0,1,1,1,1,1,0,-1,1,3,1,1,0,1,0,1,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ME1114,1,2003-10-30,5,1,1,1,49,1,0,1,0,0,0,0,0,0,1,18,4,1,2,1,6,1,1,0,1,5,54,1,1989,-4,-4,1,12,30,1,0,1,0,0,1,1,0,0,0,0,0,1,8,2003,1,17.78,45,40,0,-1,0,0,0,0,0,0,0,0,0,1,10,1,1,1,1,2,2,2,3,1,1,1,1,3,3,2,3,1,2,3,2,3,2,0,0,1,1,1,1,1,0,1,760,1,2,0,-1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
ME1122,1,2003-11-06,5,1,1,1,38,0,0,1,0,0,0,0,0,0,1,16,2,0,-1,3,2,1,1,1,1,1,81,7,2000,8,2001,0,0,30,1,0,1,1,0,0,1,1,0,0,0,0,1,3,2003,4,8,25,12,0,-1,0,0,0,0,1,1,0,0,0,1,7,3,2,2,5,1,3,2,3,4,1,2,2,2,4,2,2,3,2,4,2,1,2,0,0,1,1,0,1,1,1,0,-1,1,3,1,7,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ME1133,0,2003-11-06,5,1,1,1,48,1,0,0,0,1,0,0,0,0,1,16,1,0,-1,3,3,1,1,1,1,0.7,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,1,1,0,0,0,1,0,0,0,1,1,7,2001,9,18,60,-4,1,20,0,1,0,0,0,0,0,0,0,0,-4,1,2,1,2,1,1,1,3,1,2,2,1,1,2,2,5,1,4,2,2,5,1,0,0,1,1,1,1,1,1,0,-1,1,3,0,-1,1,1,1,-4,-4,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
ME1155,0,2003-11-10,5,1,0,0,41,0,0,1,0,0,0,0,0,0,1,11,1,0,-1,5,3,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,0,1,7,2003,9,10,40,52,1,7,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,4,1,5,1,0,0,1,1,1,1,1,1,0,-1,1,3,0,-1,0,1,1,1,-1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ME1159,0,2003-11-10,5,1,1,1,20,0,1,1,0,0,0,0,0,0,1,12,3,0,-1,5,4,1,1,0,1,2,44,3,2002,-4,-4,1,48,10,0,-4,1,0,0,1,1,1,0,0,0,0,1,4,2003,4,8.7,20,52,0,-1,0,1,0,0,0,0,0,0,0,0,-4,1,1,2,1,1,1,2,2,1,1,1,1,1,3,3,4,5,1,5,1,5,3,0,0,1,1,1,1,1,1,0,-1,1,3,0,-1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
