gateid,treatment,site,completed_w2,age,white,black,asian,grade,children,hhincome,healthproblem,self_employed,worked_for_relatives_friends_se,salaried_worker,benefits,philadelphia,pittsburgh,minneapolis,duluth,maine,nonenglish,married,hhincome_p25,hhincome_p25_49,hhincome_p75_99,hhincome_p100,employer_healthins,unemployed,female,not_born_us,badcredit,agesqr,latino,other,hhincome_w2,autonomy_std,risk_tolerance_std
ME1014,0,5,1,73.0,1.0,0.0,0.0,18,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5329.0,0.0,0.0,70000.0,-6.686470953641612,3.78517588481892
ME1034,1,5,1,39.0,1.0,0.0,0.0,14,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1521.0,0.0,0.0,30000.0,-4.686470953641612,3.78517588481892
ME1085,1,5,1,35.0,1.0,0.0,0.0,9,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1225.0,0.0,0.0,15000.0,-4.686470953641612,6.78517588481892
ME1109,1,5,1,28.0,1.0,0.0,0.0,17,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,1.0,120000.0,-4.686470953641612,6.78517588481892
ME1111,1,5,1,33.0,0.0,1.0,0.0,13,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1089.0,0.0,0.0,12500.0,-4.686470953641612,5.78517588481892
ME1114,1,5,1,49.0,1.0,0.0,0.0,18,1.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2401.0,0.0,0.0,50000.0,-4.686470953641612,2.78517588481892
ME1122,1,5,1,38.0,1.0,0.0,0.0,16,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1444.0,0.0,0.0,12000.0,-5.686470953641612,3.78517588481892
ME1133,0,5,1,48.0,0.0,1.0,0.0,16,0.0,3.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2304.0,0.0,0.0,26280.0,-5.686470953641612,1.78517588481892
ME1155,0,5,0,41.0,1.0,0.0,0.0,11,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1681.0,0.0,0.0,,-4.686470953641612,2.78517588481892
ME1159,0,5,1,20.0,1.0,0.0,0.0,12,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,400.0,1.0,0.0,10000.0,-4.686470953641612,3.78517588481892
ME1160,0,5,0,49.0,1.0,0.0,0.0,16,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2401.0,0.0,0.0,,-4.686470953641612,6.78517588481892
ME1167,0,5,1,41.0,0.0,0.0,0.0,12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1681.0,1.0,0.0,21000.0,-4.686470953641612,4.78517588481892
